HU_mean,HU_mean_smooth,HU_std,HU_std_smooth,Lower_threshold,Upper_threshold
172.686,228.727,84.5283,116.086,182.292,460.898
154.067,229.074,94.5345,116.086,182.64,461.246
169.333,229.824,71.0868,116.086,183.39,461.996
171.726,230.465,72.3587,116.217,183.978,462.899
163.196,230.766,96.5322,116.217,184.279,463.2
154.223,232.282,112.064,116.306,185.76,464.894
175.472,234.145,68.8024,116.373,187.596,466.891
163.451,234.145,75.9816,116.5,187.545,467.144
157.968,234.145,70.8032,116.827,187.414,467.798
156.467,234.145,79.5793,117.107,187.302,468.359
145.421,234.145,116.086,117.107,187.302,468.359
170.588,234.145,116.827,117.107,187.302,468.359
195.52,234.145,127.261,117.107,187.302,468.359
226.322,234.145,108.324,117.544,187.127,469.233
242.749,234.145,105.044,117.807,187.022,469.759
237.616,234.145,105.518,119.527,186.334,473.198
228.727,232.282,120.621,120.621,184.034,473.524
230.465,230.766,140.089,120.995,182.368,472.756
244.144,230.465,117.544,120.995,182.067,472.455
229.074,229.074,174.938,120.995,180.676,471.064
241.585,228.727,134.957,120.621,180.478,469.969
230.766,226.962,126.491,120.621,178.713,468.204
234.145,226.322,125.133,120.621,178.073,467.564
239.518,221.382,114.128,120.995,172.984,463.372
240.555,217.25,117.107,120.621,169.002,458.493
246.824,216.927,116.5,119.738,169.032,456.403
248.321,216.784,122.728,120.621,168.536,458.026
259.96,214.695,108.16,120.995,166.297,456.685
257.214,214.695,116.217,120.995,166.297,456.685
265.753,214.695,135.785,120.995,166.297,456.685
264.547,214.695,144.532,120.995,166.297,456.685
278.077,214.695,130.859,120.995,166.297,456.685
251.715,214.695,151.252,120.995,166.297,456.685
264.431,214.695,134.355,121.395,166.137,457.486
277.197,214.695,122.588,121.395,166.137,457.486
267.397,214.695,136.312,122.588,165.66,459.871
272.692,214.695,125.301,122.728,165.604,460.15
239.565,214.695,128.899,125.133,164.642,464.961
226.962,214.695,117.807,125.301,164.575,465.296
173.987,214.695,155.227,126.491,164.099,467.676
138.01,214.695,158.808,126.491,164.099,467.676
111.906,214.695,225.961,126.491,164.099,467.676
106.516,214.695,249.187,125.301,164.575,465.296
161.371,207.53,162.035,126.491,156.933,460.511
180.652,206.41,145.966,128.133,155.157,462.676
169.645,203.4,171.458,128.133,152.147,459.666
203.4,189.434,128.133,128.899,137.874,447.232
206.41,187.876,121.395,128.133,136.623,444.141
207.53,183.853,120.995,128.133,132.6,440.119
216.927,180.907,114.591,126.491,130.31,433.888
214.695,180.652,109.266,126.491,130.056,433.633
221.382,178.923,93.1442,128.133,127.67,435.189
189.434,173.987,142.912,128.899,122.427,431.785
217.25,173.987,98.7298,128.899,122.427,431.785
173.401,173.987,139.356,128.899,122.427,431.785
167.697,173.987,119.738,128.899,122.427,431.785
160.262,173.987,115.207,128.899,122.427,431.785
153.338,173.987,143.637,128.899,122.427,431.785
158.848,173.987,148.779,128.899,122.427,431.785
183.853,173.987,100.302,128.899,122.427,431.785
187.876,173.987,84.0084,128.899,122.427,431.785
180.907,173.987,87.7926,128.899,122.427,431.785
178.923,173.987,83.9794,128.899,122.427,431.785
161.577,173.987,106.15,128.899,122.427,431.785
139.99,173.987,137.167,128.899,122.427,431.785
145.952,173.987,121.209,128.899,122.427,431.785
108.301,173.987,150.256,128.899,122.427,431.785
96.6431,173.987,187.011,128.899,122.427,431.785
102.865,173.987,163.823,128.899,122.427,431.785
110.152,173.987,151.971,128.899,122.427,431.785
76.1933,173.987,158.286,128.899,122.427,431.785
113.335,173.987,102.141,128.899,122.427,431.785
102.994,173.987,94.1317,128.899,122.427,431.785
104.778,173.987,76.8786,128.899,122.427,431.785
65.724,173.987,152.301,128.899,122.427,431.785
113.153,173.987,135.569,128.899,122.427,431.785
114.398,173.987,116.427,128.899,122.427,431.785
102.95,173.987,140.986,128.899,122.427,431.785
148.116,173.987,67.3855,128.899,122.427,431.785
133.224,173.987,65.1778,128.899,122.427,431.785
98.0818,173.987,109.537,128.899,122.427,431.785
93.9158,173.987,141.339,128.899,122.427,431.785
100.79,173.987,151.634,128.899,122.427,431.785
95.732,173.987,163.562,128.899,122.427,431.785
